,Outliers,No Outliers
0,5.841428571428575,5.173675435346429
1,6.031428571428576,5.563675435346429
2,6.221428571428575,5.95367543534643
3,6.4114285714285755,6.343675435346429
4,6.601428571428575,6.74367543534643
5,6.801428571428575,7.133675435346429
6,6.991428571428575,7.52367543534643
7,7.181428571428575,7.91367543534643
8,7.371428571428575,8.30367543534643
9,7.561428571428575,8.69367543534643
10,7.751428571428575,9.083675435346429
11,7.941428571428576,9.47367543534643
12,8.131428571428575,9.87367543534643
13,8.321428571428575,10.263675435346428
14,8.511428571428574,10.653675435346429
15,8.711428571428575,11.04367543534643
16,8.901428571428575,11.43367543534643
17,9.091428571428576,11.82367543534643
18,9.281428571428576,12.21367543534643
19,9.471428571428575,12.61367543534643
20,9.661428571428575,13.00367543534643
21,9.851428571428574,13.393675435346431
22,10.041428571428575,13.783675435346428
23,10.231428571428575,14.173675435346428
24,10.431428571428576,14.563675435346429
25,10.621428571428575,14.95367543534643
26,10.811428571428575,15.353675435346428
27,11.001428571428576,15.743675435346429
28,11.191428571428574,16.13367543534643
29,11.381428571428575,16.52367543534643
30,11.571428571428577,16.91367543534643
31,11.761428571428574,17.30367543534643
32,11.951428571428576,17.693675435346428
33,12.151428571428575,18.08367543534643
34,12.341428571428576,18.48367543534643
35,12.531428571428576,18.873675435346428
36,12.721428571428575,19.26367543534643
37,12.911428571428576,19.65367543534643
38,13.101428571428574,20.04367543534643
39,13.291428571428575,20.43367543534643
40,13.481428571428575,20.82367543534643
41,13.671428571428574,21.22367543534643
42,13.861428571428576,21.61367543534643
43,14.061428571428575,22.003675435346427
44,14.251428571428576,22.393675435346427
45,14.441428571428574,22.783675435346428
46,14.631428571428575,23.17367543534643
47,14.821428571428577,23.56367543534643
48,15.011428571428574,23.963675435346428
49,15.201428571428576,24.353675435346428
50,15.391428571428577,24.74367543534643
51,15.581428571428575,25.13367543534643
52,15.781428571428574,25.52367543534643
53,15.971428571428575,25.913675435346427
54,16.161428571428576,26.303675435346427
55,16.351428571428574,26.693675435346428
56,16.541428571428575,27.09367543534643
57,16.731428571428577,27.483675435346427
58,16.921428571428574,27.873675435346428
59,17.111428571428576,28.26367543534643
60,17.301428571428577,28.65367543534643
61,17.501428571428576,29.04367543534643
62,17.691428571428574,29.43367543534643
63,17.881428571428575,29.83367543534643
64,18.071428571428577,30.22367543534643
65,18.261428571428574,30.61367543534643
66,18.451428571428576,31.003675435346427
67,18.641428571428577,31.393675435346427
68,18.831428571428575,31.783675435346428
69,19.021428571428576,32.17367543534643
70,19.211428571428574,32.57367543534643
71,19.411428571428576,32.96367543534643
72,19.601428571428574,33.35367543534643
73,19.791428571428575,33.74367543534643
74,19.981428571428577,34.13367543534643
75,20.171428571428574,34.52367543534643
76,20.361428571428576,34.91367543534643
77,20.551428571428577,35.30367543534643
78,20.741428571428575,35.70367543534643
79,20.931428571428576,36.093675435346434
80,21.131428571428575,36.48367543534643
81,21.321428571428577,36.87367543534643
82,21.511428571428574,37.263675435346435
83,21.701428571428576,37.65367543534643
84,21.891428571428577,38.04367543534643
85,22.081428571428575,38.443675435346435
86,22.271428571428576,38.83367543534643
87,22.461428571428577,39.22367543534643
88,22.651428571428575,39.61367543534643
89,22.851428571428578,40.00367543534643
90,23.041428571428575,40.39367543534643
91,23.231428571428577,40.78367543534643
92,23.421428571428574,41.18367543534643
93,23.611428571428576,41.57367543534643
94,23.801428571428577,41.96367543534643
95,23.991428571428575,42.35367543534643
